trial_Num,turn,step,Fig_Pos,L_Key,R_Key,error,category,Time,All_Time,exp
1,-1,1,-800,-,R,0,5.R,0.38,0.38,indivi
1,1,2,-760,L,-,0,0.L,0.27,0.65,indivi
1,-1,3,-720,-,R,0,5.R,0.53,1.18,indivi
1,1,4,-680,L,-,0,0.L,0.14,1.32,indivi
1,-1,5,-640,-,R,0,5.R,0.26,1.59,indivi
1,1,5,-640,-,R,1,4.XR,3.87,5.46,indivi
1,1,6,-600,L,-,0,0.L,0.14,5.6,indivi
1,-1,6,-600,L,R,1,2.XLR,0.79,6.39,indivi
1,-1,7,-560,-,R,0,5.R,4.93,11.32,indivi
1,1,8,-520,L,-,0,0.L,0.27,11.59,indivi
1,-1,9,-480,-,R,0,5.R,0.53,12.12,indivi
1,1,10,-440,L,-,0,0.L,0.27,12.39,indivi
1,-1,11,-400,-,R,0,5.R,0.38,12.77,indivi
1,1,12,-360,L,-,0,0.L,0.27,13.04,indivi
1,-1,13,-320,-,R,0,5.R,0.26,13.3,indivi
1,1,14,-280,L,-,0,0.L,0.28,13.58,indivi
1,-1,15,-240,-,R,0,5.R,0.13,13.72,indivi
1,1,16,-200,L,-,0,0.L,0.41,14.13,indivi
1,-1,17,-160,-,R,0,5.R,0.13,14.26,indivi
1,1,18,-120,L,-,0,0.L,0.27,14.52,indivi
1,-1,19,-80,-,R,0,5.R,0.14,14.66,indivi
1,1,20,-40,L,-,0,0.L,0.27,14.93,indivi
1,-1,21,0,-,R,0,5.R,0.26,15.19,indivi
1,1,22,40,L,-,0,0.L,0.13,15.32,indivi
1,-1,23,80,-,R,0,5.R,0.13,15.45,indivi
1,1,24,120,L,-,0,0.L,0.28,15.73,indivi
1,-1,25,160,-,R,0,5.R,0.26,15.99,indivi
1,1,25,160,-,R,1,4.XR,0.27,16.26,indivi
1,1,26,200,L,-,0,0.L,0.13,16.39,indivi
1,-1,27,240,-,R,0,5.R,0.4,16.79,indivi
1,1,28,280,L,-,0,0.L,0.27,17.06,indivi
1,-1,29,320,-,R,0,5.R,0.13,17.19,indivi
1,1,30,360,L,-,0,0.L,0.27,17.46,indivi
1,-1,31,400,-,R,0,5.R,0.26,17.72,indivi
1,1,32,440,L,-,0,0.L,0.27,17.99,indivi
1,-1,33,480,-,R,0,5.R,0.13,18.13,indivi
1,1,34,520,L,-,0,0.L,0.27,18.39,indivi
1,-1,35,560,-,R,0,5.R,0.26,18.66,indivi
1,1,36,600,L,-,0,0.L,0.13,18.79,indivi
1,-1,37,640,-,R,0,5.R,0.14,18.93,indivi
1,1,38,680,L,-,0,0.L,0.27,19.2,indivi
1,-1,39,720,-,R,0,5.R,0.26,19.46,indivi
1,1,40,760,L,-,0,0.L,0.27,19.73,indivi
1,-1,41,800,-,R,0,5.R,0.12,19.85,indivi
1,1,41,800,L,R,1,3.XRL,0.27,20.12,indivi
1,1,41,800,L,R,1,3.XRL,1.07,21.19,indivi
1,1,41,800,-,R,1,4.XR,0.8,21.99,indivi
1,1,42,840,L,-,0,0.L,0.27,22.25,indivi
,,,,,,,,,,
,,,,,,,,,,
2,1,0,-840,-,R,1,4.XR,1.19,1.19,indivi
2,1,1,-800,L,-,0,0.L,0.27,1.46,indivi
2,-1,2,-760,-,R,0,5.R,0.26,1.72,indivi
2,1,3,-720,L,-,0,0.L,0.14,1.86,indivi
2,-1,4,-680,-,R,0,5.R,0.26,2.12,indivi
2,1,5,-640,L,-,0,0.L,0.14,2.26,indivi
2,-1,6,-600,-,R,0,5.R,0.26,2.52,indivi
2,1,7,-560,L,-,0,0.L,0.14,2.66,indivi
2,-1,8,-520,-,R,0,5.R,0.13,2.79,indivi
2,1,9,-480,L,-,0,0.L,0.26,3.05,indivi
2,-1,10,-440,-,R,0,5.R,0.14,3.19,indivi
2,1,11,-400,L,-,0,0.L,0.27,3.46,indivi
2,-1,12,-360,-,R,0,5.R,0.13,3.59,indivi
2,1,13,-320,L,-,0,0.L,0.27,3.86,indivi
2,-1,14,-280,-,R,0,5.R,0.26,4.12,indivi
2,1,15,-240,L,-,0,0.L,0.14,4.26,indivi
2,-1,16,-200,-,R,0,5.R,0.13,4.39,indivi
2,1,17,-160,L,-,0,0.L,0.14,4.53,indivi
2,-1,18,-120,-,R,0,5.R,0.26,4.79,indivi
2,1,19,-80,L,-,0,0.L,0.14,4.92,indivi
2,-1,20,-40,-,R,0,5.R,0.13,5.05,indivi
2,1,21,0,L,-,0,0.L,0.4,5.46,indivi
2,-1,22,40,-,R,0,5.R,0.13,5.59,indivi
2,1,23,80,L,-,0,0.L,0.14,5.72,indivi
